"comment_id","text","previous_label","manual_label","corrected_label","audit_match","finding"
"1083999720156705","You're now taking Zambians for granted.","positive","negative","negative","True","False positive: literal positive wording inside sarcasm or criticism"
"2084093975451888","So the increment will increase the level of water in the dam?","positive","negative","negative","True","False positive: literal positive wording inside sarcasm or criticism"
"1497036951331203","Do it quickly and increase at least by 50% we are entering an election period and we need such data to help us make an informed decision","positive","negative","negative","True","False positive: literal positive wording inside sarcasm or criticism"
"2061777927912864","Weren't the current tariffs increased because of the same reason? They think we have pea-sized memories ai?","positive","negative","negative","True","False positive: literal positive wording inside sarcasm or criticism"
"1122223516042970","In Psquare's voice, ""these are temptations with a little confusion, oh oh oh oh...""","negative","negative","negative","True","Previously correct"
"1109294897534872","The same electricity we rarely have 🤔","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"787782870329527","The same power that we can't see? Tekutwangasha uku nomba?","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"24988352280782987","Even if they increase , as if theirs Power , ifya Bupuba fye 🚶🚶🔥🔥","positive","negative","negative","True","False positive: literal positive wording inside sarcasm or criticism"
"751790887852813","Increasing in order to reduce load shedding through self reliance 😅😅😅😅","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"1405717930500375","Iyee sure....salt to be added to injury, why not increase to the ones sold to other countries mwebantu? Iyeee awe sure.","negative","negative","negative","True","Previously correct"
"1667402184646993","Which consumer? Zambians or Namibians?","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"1453576375766965","Anyone who calls themselves engineer chani chani they usually don't know wat there doing 🏃🏃","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"1338524981177352","Mboooo I would have said something now I don't have a loya🙊🙊🙊","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"1096945595951305","With what power supply? The same one for 2hours per day? Jokers 🚮🚮","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"715727154821847","Awe kwena namu tutola, last futi🤔 😢","negative","negative","negative","True","Previously correct"
"1312335830434972","as if he's the one who is buying for us power","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"1162757665669081","The same power we’re exporting to Nambia and other neighboring countries?? 😂😂😂😂 kwena mulangala.","negative","negative","negative","True","Previously correct"
"703886269329758","The only thing we do is laugh now 😄 because what else can possibly surprise us","positive","negative","negative","True","False positive: literal positive wording inside sarcasm or criticism"
"1841672893415126","Which electricity ba ERB nabo. 🙄","neutral","negative","negative","True","False neutral: implicit or rhetorical complaint"
"781427967835005","Which electricity????","excluded","negative","negative","True","Previously excluded by the four-word minimum"
