"term","meaning","anger","fear","trust","hope","sadness","frustration","notes"
"mwayamba / mwatampa / mwayambako / mwatampako / yayamba / vayamba / bayamba","you have started / they have started (trouble)","0.7","0.2","0","0","0.3","0.8","Local Zambian emotion mapping"
"mwapoleni","how are you? (sarcastic)","0.2","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"mwabashani / mwabako","you have messed up / you are wrong","0.9","0.1","0","0","0.5","0.9","Local Zambian emotion mapping"
"ninshi","so / therefore / then (rhetorical)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"bane / bamene","guys / people (calling attention)","0","0","0.1","0","0","0.1","Local Zambian emotion mapping"
"naimwe / imwe","you (plural, accusatory)","0.3","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"mukwai / mweh","please / I tell you (emphasis)","0","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"kuti","like / that (introducing sarcastic quote)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"manje / komanje","but now / well then (frustration)","0.3","0.1","0","0","0.2","0.5","Local Zambian emotion mapping"
"tekanya / tekanyeni","just wait / be patient (sarcastic)","0.3","0.1","0","0","0.2","0.6","Local Zambian emotion mapping"
"zee / vazee / ba zee","expression of dismissal/exasperation","0.4","0","0","0","0.1","0.5","Local Zambian emotion mapping"
"fyabupuba / fyabufi","nonsense / stupid things","1","0","0","0","0.4","1","Local Zambian emotion mapping"
"chandi / mwandi","please / truly (reinforcing complaint)","0.1","0","0.1","0","0.1","0.2","Local Zambian emotion mapping"
"yaba","that’s it / that’s enough (sarcastic)","0.2","0","0","0","0.1","0.3","Local Zambian emotion mapping"
"tate / tata","father / sir (sarcastic respect)","0.1","0","0","0","0","0.2","Local Zambian emotion mapping"
"tefintu","it’s nothing / useless","0.5","0.2","0","0","0.6","0.8","Local Zambian emotion mapping"
"kaya","I don’t know / no idea (helplessness)","0.1","0.4","0","0","0.5","0.4","Local Zambian emotion mapping"
"bah","no (emphatic)","0.6","0.1","0","0","0.2","0.6","Local Zambian emotion mapping"
"yakosa / yakosa kwena","it’s difficult / it hurts","0.4","0.7","0","0","0.8","0.6","Local Zambian emotion mapping"
"nalakwa / tinalakwa chani","what have we done wrong?","0.3","0.2","0","0","0.8","0.5","Local Zambian emotion mapping"
"tufta / twafwa","we are dying / we suffer","0.5","0.8","0","0","0.9","1","Local Zambian emotion mapping"
"chapwa","it’s finished / done","0","0","0","0","0.2","0.2","Local Zambian emotion mapping"
"fye","only / just (intensifier)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"kwena","but / really (emphasis)","0","0","0","0","0","0.2","Local Zambian emotion mapping"
"lekeni","leave it / stop (dismissive)","0.4","0","0","0","0.1","0.5","Local Zambian emotion mapping"
"mulebako / mulebe","you should be serious","0.5","0.1","0","0","0.2","0.7","Local Zambian emotion mapping"
"mukalamba","you are big / arrogant (sarcastic)","0.2","0","0","0","0","0.4","Local Zambian emotion mapping"
